,Title,Vote Average,Genre
,Hart's War,5.9,Drama|Romance
,Killer Elite,6.1,Fantasy|Horror
,Rollerball,3.4,Drama
,Ballistic: Ecks vs. Sever,4.3,Comedy|Crime|Drama|Thriller
,Hard Rain,5.5,Adventure|Children
,Osmosis Jones,5.9,Action|Adventure|Animation|Horror|Sci-Fi
,Legends of Oz: Dorothy's Return,5.9,Action|Horror|Sci-Fi
,Blackhat,5.1,Comedy
,Sky Captain and the World of Tomorrow,5.7,Drama|Romance
,Basic Instinct 2,4.6,Drama|Thriller
,Escape Plan,6.7,Comedy|Drama
,The Legend of Hercules,4.4,Animation|Children
,The Sum of All Fears,5.9,Comedy|Drama
,The Twilight Saga: Eclipse,5.8,Comedy|Romance
,The Score,6.7,Comedy
,Despicable Me,7.1,Drama
,Money Train,5.4,Drama
,Ted 2,6.2,Romance
,Agora,6.9,Action|Drama|Thriller
,Mystery Men,5.7,Drama
,Hall Pass,5.4,Comedy
,The Insider,7.3,Drama|Thriller
,The Finest Hours,6.3,Crime|Drama|Mystery|Thriller
,Body of Lies,6.5,Drama
,Dinner for Schmucks,5.5,Drama|Romance
,Abraham Lincoln: Vampire Hunter,5.5,Adventure|Animation|Children|Fantasy|Musical|Romance
,Entrapment,6,Drama|War
,The X Files,6.6,Comedy
,The Last Legion,5,Comedy
,Saving Private Ryan,7.9,Comedy|Drama
,Need for Speed,6.1,Drama
,What Women Want,6.1,Comedy
,Ice Age,7.1,Romance
,Dreamcatcher,5.3,Comedy|Drama
,Lincoln,6.7,Drama|Thriller
,The Matrix,7.9,Adventure|Children|Comedy
,Apollo 13,7.3,Drama
,The Santa Clause 2,5.5,Comedy
,Les Misérables,7.1,Comedy
,You've Got Mail,6.3,Drama
,Step Brothers,6.5,Action|Crime|Drama|War
,The Mask of Zorro,6.3,Action|Adventure|Mystery|Thriller
,Due Date,6.2,Comedy|Drama
,Unbroken,7.3,Drama
,Space Cowboys,6.3,Comedy
,Cliffhanger,6.1,Horror|Mystery|Thriller
,Broken Arrow,5.7,Action|Adventure|Fantasy
,The Kid,6,Drama|Romance
,World Trade Center,5.9,Comedy
,Mona Lisa Smile,6.5,Comedy
,The Dictator,5.9,Comedy|Drama
,Eyes Wide Shut,7.1,Drama|Musical
,Annie,6,Crime|Drama|Thriller
,Focus,6.7,Drama
,This Means War,5.9,Adventure|Animation|Children|Fantasy|Musical
,Blade: Trinity,5.7,Thriller
,Red Dawn,6.4,Comedy
,Primary Colors,6.1,Comedy
,Resident Evil: Retribution,5.6,Comedy|Drama|War
,Death Race,6,Drama|Romance|War
,The Long Kiss Goodnight,6.5,Action
,Proof of Life,6,Drama
,Zathura: A Space Adventure,6.1,Drama
,Fight Club,8.3,Comedy|Sci-Fi
,We Are Marshall,6.7,Drama
,Hudson Hawk,5.4,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
,Lucky Numbers,4.9,Adventure|Comedy|Sci-Fi
,"I, Frankenstein",5,Action|Drama|Thriller
,Oliver Twist,6.7,Comedy|Horror|Sci-Fi
,Elektra,4.8,Drama|Thriller
,Sin City: A Dame to Kill For,6.3,Drama
,Random Hearts,5.3,Drama|Mystery|Romance|Sci-Fi|Thriller
,Everest,6.7,Crime
,Perfume: The Story of a Murderer,7.1,Documentary|Drama
,Austin Powers in Goldmember,5.9,Documentary
,Astro Boy,6.1,Drama
,Jurassic Park,7.6,Drama
,Wyatt Earp,6.5,Drama|Romance
,Clear and Present Danger,6.4,Action|Adventure|Comedy|War
,Dragon Blade,5.9,Drama|Romance
,Little Man,5.3,Comedy|Romance
,U-571,6.1,Action|Sci-Fi|Thriller
,The American President,6.5,Drama
,The Love Guru,4.3,Action|Crime|Drama
,3000 Miles to Graceland,5.8,Mystery|Thriller
,The Hateful Eight,7.6,Drama|Thriller
,Blades of Glory,5.9,Drama|Romance
,Hop,5.5,Drama
,300,7,Drama
,Meet the Fockers,6.1,Comedy
,Marley & Me,6.9,Drama
,The Green Mile,8.2,Drama
,Wild Hogs,5.6,Drama
,Chicken Little,5.6,Action|Adventure
,Gone Girl,7.9,Comedy
,The Bourne Identity,7.3,Drama
,GoldenEye,6.6,Crime|Drama|Thriller
,The General's Daughter,6.1,Comedy|Romance
,The Truman Show,7.8,Adventure|Animation|Children|Comedy|Musical
,The Prince of Egypt,6.8,Comedy
,Daddy Day Care,5.6,Adventure|Children
,2 Guns,6.6,Crime|Drama|Romance|Thriller
,Cats & Dogs,5,Drama
,The Italian Job,6.6,Drama|Mystery|Western
,Two Weeks Notice,5.9,Drama|Romance
,Antz,6,Crime
,Couples Retreat,5.3,Comedy
,Days of Thunder,5.9,Comedy|Fantasy|Sci-Fi
,Cheaper by the Dozen 2,5.7,Comedy
,Maze Runner: The Scorch Trials,6.4,Adventure|Animation|Comedy
,Eat Pray Love,5.8,Drama
,The Family Man,6.5,Documentary
,RED,6.6,Drama
,Any Given Sunday,6.8,Drama|Fantasy|Horror|Thriller
,The Horse Whisperer,6.7,Comedy
,Collateral,7,Drama
,The Scorpion King,5.3,Documentary
,Ladder 49,6.2,Comedy
,Jack Reacher,6.3,Drama
,Deep Blue Sea,5.6,Drama
,This Is It,6.7,Crime|Thriller
,Contagion,6.2,Crime
,Kangaroo Jack,4.3,Action|Adventure|Thriller
,Coraline,7.3,Comedy
,The Happening,4.9,Horror
,Man on Fire,7.3,Action|Adventure|Romance|Thriller
,The Shaggy Dog,4.5,Action|Sci-Fi
,Starsky & Hutch,5.6,Drama
,Jingle All the Way,5.5,Comedy
,Hellboy,6.5,Animation|Sci-Fi
,A Civil Action,6.1,Horror|Thriller
,ParaNorman,6.7,Comedy
,The Jackal,6.1,Drama
,Paycheck,5.9,Animation|Children|Comedy
,Up Close & Personal,5.9,Film-Noir
,The Tale of Despereaux,5.8,Comedy
,The Tuxedo,5.3,Action|Sci-Fi|Thriller
,Under Siege 2: Dark Territory,5.6,Drama
,Jack Ryan: Shadow Recruit,5.9,Comedy|War
,Joy,6.4,Comedy|Horror
,London Has Fallen,5.8,Comedy|Documentary|Romance
,Alien: Resurrection,5.9,Comedy|Drama|Romance
,Shooter,6.9,Adventure|Children
,The Boxtrolls,6.6,Children|Drama
,Practical Magic,6.3,Documentary
,The Lego Movie,7.5,Drama
,Miss Congeniality 2: Armed and Fabulous,5.3,Drama
,Reign of Fire,6,Documentary
,Gangster Squad,6.2,Drama|War
,Year One,4.6,Action|Adventure
,Invictus,7,Comedy|Crime
,State of Play,6.7,Comedy|Drama
,Duplicity,5.7,Drama|Romance
,My Favorite Martian,5.1,Comedy|Drama
,The Sentinel,5.8,Drama
,Planet 51,5.6,Comedy|Drama
,Star Trek: Nemesis,6.1,Drama
,Intolerable Cruelty,5.8,Documentary
,Trouble with the Curve,6.6,Drama
,Edge of Darkness,6.2,Comedy|Drama
,The Relic,5.8,Comedy
,Analyze That,5.7,Drama
,Righteous Kill,5.9,Drama
,Mercury Rising,6,Horror|Mystery
,The Soloist,6.6,Comedy|Drama
,The Legend of Bagger Vance,6.3,War
,Almost Famous,7.4,Comedy|Crime|Drama
,Garfield: A Tail of Two Kitties,5.1,Drama|Romance
,xXx: State of the Union,4.7,Action|Adventure|Sci-Fi|Thriller
,Priest,5.4,Drama
,Sinbad: Legend of the Seven Seas,6.6,Drama|Thriller
,Event Horizon,6.5,Animation|Children|Drama|Musical|Romance
,Dragonfly,6.1,Comedy|Thriller
,The Black Dahlia,5.7,Comedy
,Flyboys,6.3,Action|Drama|Thriller
,The Last Castle,7,Documentary
,Supernova,4.9,Comedy|Fantasy|Romance|Sci-Fi
,Winter's Tale,6,Drama
,The Mortal Instruments: City of Bones,6.2,Drama
,Meet Dave,5,Documentary
,Dark Water,5.3,Fantasy
,Edtv,5.7,Drama
,Inkheart,6,Comedy|Drama
,The Spirit,4.7,Drama
,Mortdecai,5.4,Drama
,In the Name of the King: A Dungeon Siege Tale,4.1,Comedy
,Beyond Borders,6.7,Action|Adventure|Drama|Thriller
,The Monkey King 2,6,Comedy|Horror|Thriller
,The Great Raid,6.8,Drama|Mystery|Western
,Deadpool,7.4,Children|Comedy
,Holy Man,4.9,Drama|Romance
,American Sniper,7.4,Comedy|Drama|Romance
,Goosebumps,6.2,Comedy|Romance
,Just Like Heaven,6.5,Drama|Thriller
,The Flintstones in Viva Rock Vegas,4.4,Crime|Drama
,Rambo III,5.7,Comedy|Romance
,Leatherheads,5.7,Adventure|Children
,The Ridiculous 6,4.9,Action|Adventure
,Did You Hear About the Morgans?,5.1,Children|Comedy|Fantasy
,The Internship,6.1,Drama
,Resident Evil: Afterlife,5.8,Comedy
,Red Tails,5.9,Drama
,The Devil's Advocate,7.2,Action|Mystery|Thriller
,That's My Boy,5.5,Drama
,DragonHeart,6.4,Comedy
,After the Sunset,6,Comedy|Drama
,Ghost Rider: Spirit of Vengeance,4.7,Drama
,Captain Corelli's Mandolin,5.5,Drama|Romance
,The Pacifier,5.8,Drama|Romance|War
,Walking Tall,6,Drama
,Forrest Gump,8.2,Drama|Mystery
,Alvin and the Chipmunks,5.5,Comedy|Romance
,Meet the Parents,6.6,Drama
,Pocahontas,6.7,Drama
,Superman,6.9,Adventure|Children
,The Nutty Professor,5.4,Comedy|Fantasy|Musical
,Hitch,6.4,Comedy
,George of the Jungle,5.4,Drama
,American Wedding,6,Crime|Thriller
,Captain Phillips,7.6,Comedy
,Date Night,5.9,Comedy
,Casper,6,Drama
,The Equalizer,7.1,Action|Adventure|Thriller
,Maid in Manhattan,5.6,Children|Comedy|Fantasy
,Crimson Tide,7,Comedy|Drama|Romance
,The Pursuit of Happyness,7.7,Action|Thriller
,Flightplan,6.1,Children|Comedy
,Disclosure,5.9,Horror
,City of Angels,6.4,Comedy|Horror
,Kill Bill: Vol. 1,7.7,Drama
,Bowfinger,6,Drama
,Kill Bill: Vol. 2,7.6,Drama
,Tango & Cash,6.1,Drama
,Death Becomes Her,6.3,Comedy|Drama
,Shanghai Noon,6.2,Drama
,Executive Decision,5.8,Action|Adventure|Sci-Fi|Thriller
,Mr. Popper's Penguins,5.7,Crime|Drama
,The Forbidden Kingdom,6.3,Drama
,Free Birds,5.7,Comedy|Drama|Romance
,Alien³,6.2,Drama
,Evita,5.9,Drama
,Ronin,6.7,Drama
,The Ghost and the Darkness,6.4,Comedy
,Paddington,7,Drama
,The Watch,5.3,Crime|Drama
,The Hunted,6,Documentary
,Instinct,6.2,Comedy
,Stuck on You,5.1,Action|Comedy|Crime|Thriller
,Semi-Pro,5.4,Drama
,The Pirates! In an Adventure with Scientists!,6.4,Comedy|Drama
,Changeling,7.3,Drama
,Chain Reaction,5.3,Crime|Drama|Romance|Thriller
,The Fan,5.7,Comedy|Crime
,The Phantom of the Opera,7,Comedy
,Elizabeth: The Golden Age,6.6,Crime|Drama|Musical|Thriller
,Æon Flux,5.4,Comedy
,Gods and Generals,6.1,Comedy
,Turbulence,5.2,Drama
,Imagine That,5.7,Drama
,Muppets Most Wanted,6.2,Crime|Drama
,Thunderbirds,4.2,Action|Crime|Drama
,Burlesque,6.9,Action|Comedy|Crime|Thriller
,A Very Long Engagement,7.1,Comedy|Drama
,Lolita,7.3,Drama
,D-Tox,5.3,Horror|Thriller
,Blade II,6.2,Sci-Fi|Thriller
,Seven Pounds,7.5,Children|Comedy
,Bullet to the Head,5.2,Drama|Thriller
,The Godfather: Part III,7.1,Drama
,Elizabethtown,6.1,Children|Drama|Fantasy
,"You, Me and Dupree",5.4,Action|Comedy|Crime
,Superman II,6.5,Drama
,Gigli,3.5,Adventure|Animation|Children|Musical
,All the King's Men,5.7,Drama|Romance
,Shaft,5.5,Thriller
,Anastasia,7.4,Horror|Thriller
,Moulin Rouge!,7.4,Comedy|Drama|Romance
,Domestic Disturbance,5.4,Drama
,Black Mass,6.3,Romance
,Flags of Our Fathers,6.7,Drama
,Law Abiding Citizen,7.2,Drama
,Grindhouse,6.8,Adventure|Drama|Romance|War
,Beloved,5.9,Comedy|Drama|Romance
,Lucky You,5.4,Comedy|Musical|Romance
,Catch Me If You Can,7.7,Musical|Romance
,Zero Dark Thirty,6.7,Comedy|Musical
,The Break-Up,5.6,Drama|Romance
,Mamma Mia!,6.4,Drama|Mystery|Romance|Thriller
,Valentine's Day,5.7,Mystery|Thriller
,The Dukes of Hazzard,5.1,Comedy|Romance
,The Thin Red Line,7.2,Drama|Thriller
,The Change-Up,5.9,Comedy|Musical|Romance
,Man on the Moon,6.9,Action|Adventure|Mystery|Romance|Thriller
,Casino,7.8,Comedy|Drama|Romance
,From Paris with Love,6.1,Comedy|Crime
,Bulletproof Monk,5.1,Comedy|Crime|Mystery|Romance|Thriller
,"Me, Myself & Irene",6.1,Drama|Romance
,Barnyard,5.3,Film-Noir|Mystery
,Deck the Halls,5.1,Comedy|Drama|Musical|Romance
,The Twilight Saga: New Moon,5.6,Comedy|Romance
,Shrek,7.3,Comedy|Drama|Romance
,The Adjustment Bureau,6.5,Children|Drama
,Robin Hood: Prince of Thieves,6.6,Musical
,Jerry Maguire,6.7,Adventure|Children|Fantasy|Musical
,Ted,6.3,Drama|Romance|War
,As Good as It Gets,7.2,Comedy
,Patch Adams,7,Drama|Film-Noir|Romance
,Anchorman 2: The Legend Continues,6,Drama|Mystery
,Mr. Deeds,5.6,Adventure|Drama|Sci-Fi
,Super 8,6.6,Adventure|Romance|War
,Erin Brockovich,7.1,Drama
,How to Lose a Guy in 10 Days,6.3,Comedy
,22 Jump Street,7,Drama|Mystery|Romance|Thriller
,Interview with the Vampire,7.2,Drama|Film-Noir|Mystery|Thriller
,Yes Man,6.4,Film-Noir|Romance|Thriller
,Central Intelligence,6.2,Mystery|Romance|Thriller
,Stepmom,6.9,Drama|Romance
,Daddy's Home,5.8,Crime|Mystery|Romance|Thriller
,Into the Woods,5.6,Comedy
,Inside Man,7.3,Comedy|Musical
,Payback,6.7,Comedy|Romance
,Congo,5,Comedy|Romance
,We Bought a Zoo,6.5,Musical
,Knowing,5.9,Comedy|Drama
,Failure to Launch,5.5,Action|Adventure|Romance
,The Ring Two,5.4,Adventure
,"Crazy, Stupid, Love.",7,Crime|Film-Noir|Mystery
,Garfield,5.2,Drama|Fantasy|Romance
,Christmas with the Kranks,5.2,Drama
,Moneyball,7,Comedy|Musical|Romance
,Outbreak,6.3,Comedy|Drama|War
,Non-Stop,6.8,Comedy|Romance
,Race to Witch Mountain,5.5,Drama|Romance|Western
,V for Vendetta,7.7,Drama
,Shanghai Knights,6,Comedy|Crime
,Curious George,6.2,Comedy|Romance
,Herbie Fully Loaded,5.1,Adventure|Comedy
,Don't Say a Word,6,Drama|Fantasy|Romance
,Hansel & Gretel: Witch Hunters,5.7,Drama
,Unfaithful,6.3,Comedy|Romance
,I Am Number Four,5.9,Drama|Romance
,Syriana,6.3,Drama
,13 Hours: The Secret Soldiers of Benghazi,7,Comedy|Mystery
,The Book of Life,7.3,Drama
,Firewall,5.6,Crime|Drama
,Absolute Power,6.4,Drama
,G.I. Jane,6,Crime|Drama
,The Game,7.5,Musical
,Silent Hill,6.3,Romance|Western
,The Replacements,6.1,Drama|Mystery|Thriller
,American Reunion,6.1,War
,The Negotiator,6.8,Western
,Into the Storm,5.8,Horror|Sci-Fi|Thriller
,Beverly Hills Cop III,5.5,Adventure|Comedy|Romance|War
,Gremlins 2: The New Batch,6.2,Adventure|Comedy|Crime|Drama|Romance
,The Judge,7.2,Drama
,The Peacemaker,5.8,Drama
,Resident Evil: Apocalypse,6.1,Comedy|Drama
,Bridget Jones: The Edge of Reason,6.1,Drama|Romance
,Out of Time,6.1,Comedy|Musical
,On Deadly Ground,4.5,Romance|War
,The Adventures of Sharkboy and Lavagirl,4.4,Mystery
,The Beach,6.3,Drama|War
,Raising Helen,5.9,Action
,Ninja Assassin,6.2,Drama
,For Love of the Game,6.3,Drama
,Striptease,4.4,Romance
,Marmaduke,5,Comedy|Drama
,Hereafter,5.8,Documentary
,Murder by Numbers,6,Adventure|Children
,Assassins,6,Drama|Romance
,Hannibal Rising,6,Comedy|Drama
,The Story of Us,5.9,Drama
,The Host,6,Action|Adventure|Thriller
,Basic,6.2,Drama
,Blood Work,6.1,Thriller
,The International,6,Drama
,Escape from L.A.,5.6,Comedy|Drama
,The Iron Giant,7.6,Action|Crime|Drama|Thriller
,The Life Aquatic with Steve Zissou,7.1,Drama|Thriller
,Free State of Jones,6.6,Action|Crime
,The Life of David Gale,7.3,Crime|Film-Noir
,Man of the House,5.4,Crime
,Run All Night,6.3,Comedy
,Eastern Promises,7.2,Comedy|Romance
,Into the Blue,5.8,Drama|Thriller
,The Messenger: The Story of Joan of Arc,6.2,Action|Thriller
,Your Highness,5.2,Children|Comedy
,Dream House,5.8,Drama
,Mad City,5.9,Children|Comedy|Western
,Baby's Day Out,5.8,Adventure|Western
,The Scarlet Letter,5.5,Adventure|Children|Fantasy
,Fair Game,6.5,Children|Comedy
,Domino,6,Adventure|Children|Comedy
,Jade,5.2,Children|Drama
,Gamer,5.6,Children|Comedy|Romance
,Beautiful Creatures,5.6,Children|Comedy|Drama
,Death to Smoochy,5.9,Adventure|Children|Drama
,Zoolander 2,4.7,Children|Comedy
,The Big Bounce,5,Adventure|Children
,What Planet Are You From?,5.4,Children|Comedy|Mystery
,Drive Angry,5.3,Adventure|Drama|Sci-Fi
,Street Fighter: The Legend of Chun-Li,3.9,Comedy
,The One,5.7,Children|Comedy
,The Adventures of Ford Fairlane,6.2,Animation|Children|Fantasy|Musical|Romance
,The Boat That Rocked,7.2,Animation|Children|Musical
,Traffic,6.9,Animation|Children|Musical
,Indiana Jones and the Last Crusade,7.6,Animation|Children|Fantasy|Musical
,Anna Karenina,6.5,Children|Drama
,Chappie,6.6,Adventure|Drama
,The Bone Collector,6.5,Children|Comedy|Fantasy|Musical
,Panic Room,6.5,Animation|Children|Drama|Musical
,The Tooth Fairy,4.3,Adventure|Animation|Children|Musical
,Three Kings,6.6,Adventure|Children|Musical
,Child 44,6.1,Adventure|Animation|Children|Fantasy|Musical
,Rat Race,6,Animation|Children|Drama
,K-PAX,7.1,Comedy|Crime|Drama|Thriller
,Kate & Leopold,6,Musical|Romance
,Bedazzled,5.6,Action|Crime|Thriller
,The Cotton Club,6.6,Action|Horror|Sci-Fi|Thriller
,3:10 to Yuma,6.9,Drama
,Taken 3,6.1,Documentary
,Out of Sight,6.5,Drama
,The Cable Guy,5.7,Drama
,Earth,6.6,Comedy|Drama
,Dick Tracy,5.9,Drama|Romance
,The Thomas Crown Affair,6.6,Drama
,Riding in Cars with Boys,6.5,Comedy|Drama
,First Blood,7.2,Drama|Romance
,Solaris,7.7,Action|Drama|Thriller
,Happily N'Ever After,4.6,Action|Adventure
,Mary Reilly,5.7,Documentary|Drama
,My Best Friend's Wedding,6.3,Drama
,America's Sweethearts,5.5,Drama
,Insomnia,6.8,Crime|Drama|Romance
,Star Trek: First Contact,7,Drama
,Jonah Hex,4.4,Thriller
,Courage Under Fire,6.2,Drama
,Liar Liar,6.4,Comedy|Musical|Romance
,The Infiltrator,6.6,Drama
,Inchon,6.5,Drama|Romance
,The Flintstones,5,Comedy|Drama
,Taken 2,6.1,Thriller
,Scary Movie 3,5.8,Drama
,Miss Congeniality,6.1,Drama
,Journey to the Center of the Earth,5.8,Animation|Children|Comedy|Fantasy|Musical|Romance
,The Princess Diaries 2: Royal Engagement,6,Mystery
,The Pelican Brief,6.3,Comedy|Musical|Romance
,The Client,6.4,Comedy|Musical|Romance
,The Bucket List,7,Crime|Film-Noir
,Patriot Games,6.3,Crime|Film-Noir|Thriller
,Monster-in-Law,5.6,Adventure
,Prisoners,7.9,Romance|War
,Training Day,7.3,Children|Comedy|Fantasy|Musical
,Galaxy Quest,6.9,Comedy|Romance
,Scary Movie 2,5.4,Drama|Horror|Thriller
,The Muppets,6.5,Comedy|Sci-Fi
,Blade,6.5,Comedy|War
,Coach Carter,7.3,Comedy|Crime
,Changing Lanes,5.9,Comedy
,Anaconda,4.7,Comedy|Musical|Romance
,Coyote Ugly,5.8,Drama
,Love Actually,7,Comedy|Musical
,A Bug's Life,6.8,Crime|Drama
,From Hell,6.6,Adventure|Drama
,The Specialist,5.5,Crime|Mystery|Thriller
,Tin Cup,5.9,Musical
,"Yours, Mine and Ours",6.2,Drama|Musical|Romance
,Kicking & Screaming,5.6,Crime|Mystery|Thriller
,The Hitchhiker's Guide to the Galaxy,6.6,Drama|War
,Fat Albert,4.3,Comedy
,Resident Evil: Extinction,6.1,Crime|Mystery|Thriller
,Blended,6.6,Drama
,Last Holiday,6.4,Drama|Romance|Thriller
,The River Wild,6.1,Drama
,The Indian in the Cupboard,5.9,Drama
,Savages,6.2,Children|Drama|Sci-Fi
,Cellular,6.1,Comedy
,Johnny English,6,Children|Drama|Fantasy
,The Ant Bully,5.5,Action|Drama|Romance
,Dune,6.5,Action|Romance
,Across the Universe,7.1,Action
,Revolutionary Road,6.7,Drama
,16 Blocks,6.2,Drama
,Babylon A.D.,5.4,Horror
,The Glimmer Man,4.7,Documentary
,Multiplicity,5.5,Comedy
,Aliens in the Attic,5.3,Drama
,The Pledge,6.5,Action
,The Producers,6.1,Documentary
,The Phantom,4.7,Action|Comedy|Drama
,All the Pretty Horses,5.8,Comedy
,Nixon,7.1,Crime|Drama
,The Ghost Writer,6.7,Drama
,Deep Rising,6,Drama
,Miracle at St. Anna,6.3,Drama
,Curse of the Golden Flower,6.6,Action|Adventure|Crime|Drama|Western
,Bangkok Dangerous,5,Drama
,Big Trouble,6.3,Comedy|Drama
,Love in the Time of Cholera,6.4,Drama
,Shadow Conspiracy,4,Documentary
,Johnny English Reborn,6,Documentary
,Foodfight!,2.3,Drama
,Argo,7.1,Comedy|Crime
,The Fugitive,7.2,Comedy|Fantasy
,The Bounty Hunter,5.5,Action|Adventure|Sci-Fi|Thriller
,Sleepers,7.3,Horror
,Rambo: First Blood Part II,6.3,Action|Adventure|Sci-Fi|Thriller
,The Juror,5.5,Horror|Mystery
,Pinocchio,6.9,Drama|Mystery
,Heaven's Gate,6.4,Drama
,Underworld: Evolution,6.4,Comedy|Drama
,Victor Frankenstein,5.6,Action|Drama
,Finding Forrester,7,Comedy
,28 Days,6,Adventure|Comedy|Fantasy
,Unleashed,6.6,Romance
,The Sweetest Thing,5.3,Drama
,The Firm,6.6,Drama
,Charlie St. Cloud,6.8,Drama
,The Mechanic,6.3,Drama
,21 Jump Street,6.7,Drama
,Notting Hill,7,Comedy
,Chicken Run,6.5,Documentary
,Along Came Polly,5.8,Documentary
,Boomerang,5.4,Comedy|Drama
,The Heat,6.5,Documentary
,Cleopatra,6.7,Animation|Children|Comedy|Crime
,Here Comes the Boom,6,Documentary|Drama
,High Crimes,6.1,Drama
,The Mirror Has Two Faces,6.5,Animation|Comedy|Thriller
,The Mothman Prophecies,6.1,Crime|Film-Noir|Thriller
,Brüno,5.4,Film-Noir
,Licence to Kill,5.9,Film-Noir
,Red Riding Hood,5.6,Drama
,15 Minutes,5.7,Drama
,Super Mario Bros.,4,Drama
,Lord of War,7,Comedy
,Hero,7.2,Romance
,One for the Money,5.3,Comedy
,The Interview,6.1,Drama|War
,The Warrior's Way,6.3,Comedy|Drama
,Micmacs,6.8,Drama
,8 Mile,6.8,Drama
,Why I Did (Not) Eat My Father,5.3,Drama|Thriller
,A Knight's Tale,6.6,Comedy
,The Medallion,5.3,Comedy
,The Sixth Sense,7.7,Action|Adventure|Horror
,Man on a Ledge,6.2,Documentary
,The Big Year,5.6,Action
,The Karate Kid,6.9,Comedy
,American Hustle,6.8,Drama
,The Proposal,6.7,Comedy|Drama
,Double Jeopardy,6.2,Comedy
,Back to the Future Part II,7.4,Comedy|Drama|Romance
,Lucy,6.3,Drama|Fantasy|Romance
,Fifty Shades of Grey,5.2,Drama|Romance
,Spy Kids 3-D: Game Over,4.7,Drama|War
,A Time to Kill,7,Crime|Drama|Film-Noir
,Cheaper by the Dozen,6,Comedy
,Lone Survivor,7.4,Western
,A League of Their Own,6.7,Drama|Romance|War
,The Conjuring 2,7,Comedy|Drama
,The Social Network,7.1,Drama
,He's Just Not That Into You,6.2,Drama
,Scary Movie 4,5.3,Drama
,Scream 3,5.7,Comedy|Romance
,Back to the Future Part III,7.1,Documentary
,Get Hard,5.9,Crime|Drama|Romance
,Dracula,7.1,Documentary|Musical
,Julie & Julia,6.6,Documentary
,42,6.8,Drama
,The Talented Mr. Ripley,7,Comedy
,Dumb and Dumber To,5.4,Action|Adventure|Sci-Fi
,Eight Below,6.7,Action|Adventure|Comedy|Fantasy|Romance
,The Intern,7.1,Action|Adventure
,Ride Along 2,6.1,Fantasy|Sci-Fi
,The Last of the Mohicans,7.1,Action|Adventure|Horror|Sci-Fi
,Ray,7.2,Action|Adventure|Western
,Sin City,7.2,Comedy
,Vantage Point,6.2,Drama
,"I Love You, Man",6.5,Adventure|Drama|War
,Shallow Hal,5.7,Crime|Drama|Sci-Fi|Thriller
,JFK,7.5,Drama
,Big Momma's House 2,5.4,Action|Drama|War
,The Mexican,5.8,Action|Drama|Western
,17 Again,6.1,Action|Adventure|Sci-Fi
,The Other Woman,6.2,Drama|Fantasy|Romance
,The Final Destination,5.4,Film-Noir|Mystery|Thriller
,Bridge of Spies,7.2,Crime|Drama
,Behind Enemy Lines,6,Horror|Sci-Fi
,Get Him to the Greek,5.9,Action|Adventure|Comedy|Fantasy|Horror
,Shall We Dance?,5.9,Adventure|Drama|Romance
,Small Soldiers,6.2,Drama|War
,Spawn,5,Action|Crime|Drama|Thriller
,The Count of Monte Cristo,7.3,Crime|Horror
,The Lincoln Lawyer,7,Action|Comedy|Musical
,Unknown,6.5,Crime|Drama
,The Prestige,8,Drama|War
,Horrible Bosses 2,6.1,Adventure|Animation|Children|Comedy|Sci-Fi
,Escape from Planet Earth,5.7,Action|Drama|Romance|War
,Apocalypto,7.3,Drama
,The Living Daylights,6.2,Drama|Romance
,Predators,6,Crime|Drama
,Legal Eagles,5.8,Drama
,Secret Window,6.4,Comedy|Romance
,The Lake House,6.5,Drama
,The Skeleton Key,6.4,Drama|Mystery|Sci-Fi
,The Odd Life of Timothy Green,6.5,Action|Drama|War
,Made of Honor,6,Comedy|Crime
,Jersey Boys,6.8,Comedy|Drama|Romance
,The Rainmaker,6.7,Comedy|Drama|Romance
,Gothika,5.8,Drama
,Amistad,6.8,Comedy
,Medicine Man,5.8,Action|Sci-Fi|Thriller
,Aliens vs Predator: Requiem,4.9,Comedy|Fantasy|Horror
,Ri¢hie Ri¢h,5.4,Drama|War
,Autumn in New York,5.7,Comedy|Drama
,Music and Lyrics,6.2,Comedy|Drama|Romance
,Paul,6.5,Crime|Drama|Film-Noir|Thriller
,The Guilt Trip,5.4,Drama
,Scream 4,6.1,Comedy|Drama|Romance
,8MM,6.1,Crime|Film-Noir|Thriller
,The Doors,6.7,Action|Crime|Romance|Thriller
,Sex Tape,5.3,Adventure|Drama|War
,Hanging Up,5,Drama|Fantasy
,Final Destination 5,5.9,Crime|Film-Noir|Mystery|Thriller
,Mickey Blue Eyes,5.3,Drama|Sci-Fi|Thriller
,Pay It Forward,7,Action|Adventure|Drama|Western
,Fever Pitch,5.9,Comedy|Horror|Sci-Fi
,Drillbit Taylor,5.5,Comedy|Musical|War
,A Million Ways to Die in the West,5.8,Comedy|Romance
,The Shadow,5.4,Horror
,Extremely Loud & Incredibly Close,6.9,Adventure|Drama
,Morning Glory,6.1,Crime|Film-Noir|Thriller
,Get Rich or Die Tryin',6.3,Action|Comedy|Fantasy|Horror
,The Art of War,5.6,Action|Adventure|Drama|War
,Rent,6.7,Drama|War
,Bless the Child,4.9,Action|Drama|Mystery|Romance|Thriller
,The Out-of-Towners,5,Comedy|Fantasy|Romance
,The Island of Dr. Moreau,4.6,Drama|Western
,The Musketeer,5.2,Crime|Thriller|War
